,Cluster_ID,Size,Representative,All_Features
121,387,5,Yield_Curve_10Y_3M_chg_3M,"YC_10Y_1Y_chg_3M, YC_10Y_3M_chg_3M, Yield_Curve_10Y_1Y_chg_3M, Yield_Curve_10Y_3M_chg_3M, Yield_Curve_5Y_1Y_chg_3M"
257,177,5,CUMFNS_chg_12M,"CUMFNS_chg_12M, INDPRO_chg_12M, IPDMAT_chg_12M, IPMANSICS_chg_12M, IPMAT_chg_12M"
255,207,4,CUMFNS_accel_6M,"CUMFNS_accel_6M, INDPRO_accel_6M, IPDMAT_accel_6M, IPMANSICS_accel_6M"
95,557,4,INVEST_zscore_6M,"INVEST, INVEST_zscore_12M, INVEST_zscore_3M, INVEST_zscore_6M"
75,634,4,CPIAUCSL_zscore_6M,"CPIAUCSL, CPIAUCSL_zscore_12M, CPIAUCSL_zscore_3M, CPIAUCSL_zscore_6M"
74,672,4,PPICMM_zscore_6M,"PPICMM, PPICMM_zscore_12M, PPICMM_zscore_3M, PPICMM_zscore_6M"
73,600,4,OILPRICEx_zscore_6M,"OILPRICEx, OILPRICEx_zscore_12M, OILPRICEx_zscore_3M, OILPRICEx_zscore_6M"
72,643,4,WPSID62_zscore_6M,"WPSID62, WPSID62_zscore_12M, WPSID62_zscore_3M, WPSID62_zscore_6M"
71,641,4,WPSID61_zscore_6M,"WPSID61, WPSID61_zscore_12M, WPSID61_zscore_3M, WPSID61_zscore_6M"
634,375,4,AAAFFM_accel_12M,"AAAFFM_accel_12M, BAAFFM_accel_12M, T10YFFM_accel_12M, T5YFFM_accel_12M"
635,383,4,T10YFFM_zscore_12M,"AAAFFM_zscore_12M, BAAFFM_zscore_12M, T10YFFM_zscore_12M, T5YFFM_zscore_12M"
14,29,4,CLF16OV_zscore_6M,"CLF16OV, CLF16OV_zscore_12M, CLF16OV_zscore_3M, CLF16OV_zscore_6M"
254,209,4,CUMFNS_chg_6M,"CUMFNS_chg_6M, INDPRO_chg_6M, IPDMAT_chg_6M, IPMANSICS_chg_6M"
606,410,4,AAA_accel_3M,"AAA_accel_3M, AAA_chg_3M, BAA_accel_3M, BAA_chg_3M"
352,271,4,SRVPRD_zscore_12M,"PAYEMS_zscore_12M, PAYEMS_zscore_6M, SRVPRD_zscore_12M, SRVPRD_zscore_6M"
610,426,4,AAA_zscore_12M,"AAA_zscore_12M, AAA_zscore_6M, BAA_zscore_12M, BAA_zscore_6M"
135,530,4,GS10_Q5,"GS10_Q5, GS10_extreme_high, GS5_Q5, GS5_extreme_high"
605,400,4,GS5_accel_12M,"GS10_accel_12M, GS10_chg_12M, GS5_accel_12M, GS5_chg_12M"
101,356,4,Real_1Y_Yield_chg_1M,"Real_10Y_Yield_chg_1M, Real_1Y_Yield_chg_1M, Real_3M_Rate_chg_1M, Real_5Y_Yield_chg_1M"
76,579,4,CPIAPPSL_zscore_6M,"CPIAPPSL, CPIAPPSL_zscore_12M, CPIAPPSL_zscore_3M, CPIAPPSL_zscore_6M"
77,630,4,CPITRNSL_zscore_6M,"CPITRNSL, CPITRNSL_zscore_12M, CPITRNSL_zscore_3M, CPITRNSL_zscore_6M"
78,744,4,CPIMEDSL_zscore_6M,"CPIMEDSL, CPIMEDSL_zscore_12M, CPIMEDSL_zscore_3M, CPIMEDSL_zscore_6M"
87,636,4,DNDGRG3M086SBEA_zscore_6M,"DNDGRG3M086SBEA, DNDGRG3M086SBEA_zscore_12M, DNDGRG3M086SBEA_zscore_3M, DNDGRG3M086SBEA_zscore_6M"
93,734,4,DTCOLNVHFNM_zscore_6M,"DTCOLNVHFNM, DTCOLNVHFNM_zscore_12M, DTCOLNVHFNM_zscore_3M, DTCOLNVHFNM_zscore_6M"
633,370,4,AAAFFM_accel_6M,"AAAFFM_accel_6M, BAAFFM_accel_6M, T10YFFM_accel_6M, T5YFFM_accel_6M"
91,713,4,CES3000000008_zscore_6M,"CES3000000008, CES3000000008_zscore_12M, CES3000000008_zscore_3M, CES3000000008_zscore_6M"
90,707,4,CES2000000008_zscore_6M,"CES2000000008, CES2000000008_zscore_12M, CES2000000008_zscore_3M, CES2000000008_zscore_6M"
89,714,4,CES0600000008_zscore_6M,"CES0600000008, CES0600000008_zscore_12M, CES0600000008_zscore_3M, CES0600000008_zscore_6M"
88,582,4,DSERRG3M086SBEA_zscore_6M,"DSERRG3M086SBEA, DSERRG3M086SBEA_zscore_12M, DSERRG3M086SBEA_zscore_3M, DSERRG3M086SBEA_zscore_6M"
86,569,4,DDURRG3M086SBEA_zscore_6M,"DDURRG3M086SBEA, DDURRG3M086SBEA_zscore_12M, DDURRG3M086SBEA_zscore_3M, DDURRG3M086SBEA_zscore_6M"
79,637,4,CUSR0000SAC_zscore_6M,"CUSR0000SAC, CUSR0000SAC_zscore_12M, CUSR0000SAC_zscore_3M, CUSR0000SAC_zscore_6M"
85,632,4,PCEPI_zscore_6M,"PCEPI, PCEPI_zscore_12M, PCEPI_zscore_3M, PCEPI_zscore_6M"
84,633,4,CUSR0000SA0L5_zscore_6M,"CUSR0000SA0L5, CUSR0000SA0L5_zscore_12M, CUSR0000SA0L5_zscore_3M, CUSR0000SA0L5_zscore_6M"
83,635,4,CUSR0000SA0L2_zscore_6M,"CUSR0000SA0L2, CUSR0000SA0L2_zscore_12M, CUSR0000SA0L2_zscore_3M, CUSR0000SA0L2_zscore_6M"
82,631,4,CPIULFSL_zscore_6M,"CPIULFSL, CPIULFSL_zscore_12M, CPIULFSL_zscore_3M, CPIULFSL_zscore_6M"
81,587,4,CUSR0000SAS_zscore_6M,"CUSR0000SAS, CUSR0000SAS_zscore_12M, CUSR0000SAS_zscore_3M, CUSR0000SAS_zscore_6M"
80,574,4,CUSR0000SAD_zscore_6M,"CUSR0000SAD, CUSR0000SAD_zscore_12M, CUSR0000SAD_zscore_3M, CUSR0000SAD_zscore_6M"
18,58,4,UEMPLT5_zscore_6M,"UEMPLT5, UEMPLT5_zscore_12M, UEMPLT5_zscore_3M, UEMPLT5_zscore_6M"
604,434,4,GS5_accel_6M,"GS10_accel_6M, GS10_chg_6M, GS5_accel_6M, GS5_chg_6M"
3,143,4,RETAILx_zscore_6M,"RETAILx, RETAILx_zscore_12M, RETAILx_zscore_3M, RETAILx_zscore_6M"
41,101,4,ANDENOx_zscore_6M,"ANDENOx, ANDENOx_zscore_12M, ANDENOx_zscore_3M, ANDENOx_zscore_6M"
1,144,4,DPCERA3M086SBEA_zscore_6M,"DPCERA3M086SBEA, DPCERA3M086SBEA_zscore_12M, DPCERA3M086SBEA_zscore_3M, DPCERA3M086SBEA_zscore_6M"
660,621,4,WPSFD49502_accel_12M,"WPSFD49207_accel_12M, WPSFD49207_chg_12M, WPSFD49502_accel_12M, WPSFD49502_chg_12M"
659,611,4,WPSFD49502_accel_6M,"WPSFD49207_accel_6M, WPSFD49207_chg_6M, WPSFD49502_accel_6M, WPSFD49502_chg_6M"
11,740,4,IPFUELS_zscore_6M,"IPFUELS, IPFUELS_zscore_12M, IPFUELS_zscore_3M, IPFUELS_zscore_6M"
658,640,4,WPSFD49502_accel_3M,"WPSFD49207_accel_3M, WPSFD49207_chg_3M, WPSFD49502_accel_3M, WPSFD49502_chg_3M"
631,358,4,T10YFFM_accel_3M,"AAAFFM_accel_3M, BAAFFM_accel_3M, T10YFFM_accel_3M, T5YFFM_accel_3M"
384,250,4,MANEMP_zscore_12M,"DMANEMP_zscore_12M, DMANEMP_zscore_6M, MANEMP_zscore_12M, MANEMP_zscore_6M"
673,626,4,CUSR0000SA0L5_accel_3M,"CPIAUCSL_accel_3M, CPIAUCSL_chg_3M, CUSR0000SA0L5_accel_3M, CUSR0000SA0L5_chg_3M"
34,158,4,AWOTMAN_zscore_6M,"AWOTMAN, AWOTMAN_zscore_12M, AWOTMAN_zscore_3M, AWOTMAN_zscore_6M"
10,107,4,IPB51222S_zscore_6M,"IPB51222S, IPB51222S_zscore_12M, IPB51222S_zscore_3M, IPB51222S_zscore_6M"
601,420,4,TB6MS_zscore_6M,"GS1_zscore_12M, GS1_zscore_6M, TB6MS_zscore_12M, TB6MS_zscore_6M"
602,409,4,GS5_accel_3M,"GS10_accel_3M, GS10_chg_3M, GS5_accel_3M, GS5_chg_3M"
176,456,4,INDPRO_Q4,"INDPRO_Q4, INDPRO_Q5, INDPRO_extreme_high, INDPRO_quintile"
7,110,4,IPNCONGD_zscore_6M,"IPNCONGD, IPNCONGD_zscore_12M, IPNCONGD_zscore_3M, IPNCONGD_zscore_6M"
40,102,4,AMDMNOx_zscore_6M,"AMDMNOx, AMDMNOx_zscore_12M, AMDMNOx_zscore_3M, AMDMNOx_zscore_6M"
175,463,4,M2REAL_Q4,"M2REAL_Q4, M2REAL_Q5, M2REAL_extreme_high, M2REAL_quintile"
443,316,4,HOUST_chg_12M,"HOUSTS_chg_12M, HOUST_chg_12M, PERMITS_chg_12M, PERMIT_chg_12M"
19,35,4,UEMP5TO14_zscore_6M,"UEMP5TO14, UEMP5TO14_zscore_12M, UEMP5TO14_zscore_3M, UEMP5TO14_zscore_6M"
170,491,4,HOUST_Q1,"HOUST_Q1, HOUST_extreme_low, PERMIT_Q1, PERMIT_extreme_low"
53,727,4,NONREVSL_zscore_6M,"NONREVSL, NONREVSL_zscore_12M, NONREVSL_zscore_3M, NONREVSL_zscore_6M"
52,724,4,REALLN_zscore_6M,"REALLN, REALLN_zscore_12M, REALLN_zscore_3M, REALLN_zscore_6M"
51,720,4,BUSLOANS_zscore_6M,"BUSLOANS, BUSLOANS_zscore_12M, BUSLOANS_zscore_3M, BUSLOANS_zscore_6M"
130,373,4,TB6SMFFM_chg_6M,"T1YFFM_chg_6M, TB3SMFFM_chg_6M, TB6SMFFM_chg_6M, TED_Spread_Proxy_chg_6M"
49,552,4,TOTRESNS_zscore_6M,"TOTRESNS, TOTRESNS_zscore_12M, TOTRESNS_zscore_3M, TOTRESNS_zscore_6M"
94,736,4,DTCTHFNM_zscore_6M,"DTCTHFNM, DTCTHFNM_zscore_12M, DTCTHFNM_zscore_3M, DTCTHFNM_zscore_6M"
48,553,4,BOGMBASE_zscore_6M,"BOGMBASE, BOGMBASE_zscore_12M, BOGMBASE_zscore_3M, BOGMBASE_zscore_6M"
629,362,4,TB6SMFFM_zscore_12M,"T1YFFM_zscore_12M, T1YFFM_zscore_6M, TB6SMFFM_zscore_12M, TB6SMFFM_zscore_6M"
46,566,4,M2SL_zscore_6M,"M2SL, M2SL_zscore_12M, M2SL_zscore_3M, M2SL_zscore_6M"
45,565,4,M1SL_zscore_6M,"M1SL, M1SL_zscore_12M, M1SL_zscore_3M, M1SL_zscore_6M"
129,360,4,TB6SMFFM_chg_3M,"T1YFFM_chg_3M, TB3SMFFM_chg_3M, TB6SMFFM_chg_3M, TED_Spread_Proxy_chg_3M"
251,221,3,CUMFNS_chg_3M,"CUMFNS_chg_3M, INDPRO_chg_3M, IPMANSICS_chg_3M"
120,381,3,Yield_Curve_10Y_1Y_chg_1M,"YC_10Y_1Y_chg_1M, Yield_Curve_10Y_1Y_chg_1M, Yield_Curve_5Y_1Y_chg_1M"
6,232,3,IPDCONGD_zscore_12M,"IPDCONGD, IPDCONGD_zscore_12M, IPDCONGD_zscore_6M"
9,216,3,IPNMAT_zscore_12M,"IPNMAT, IPNMAT_zscore_12M, IPNMAT_zscore_6M"
252,222,3,CUMFNS_accel_3M,"CUMFNS_accel_3M, INDPRO_accel_3M, IPMANSICS_accel_3M"
21,7,3,UEMP15T26_zscore_12M,"UEMP15T26, UEMP15T26_zscore_12M, UEMP15T26_zscore_6M"
339,21,3,UEMP27OV_zscore_12M,"UEMP27OV_zscore_12M, UEMP27OV_zscore_3M, UEMP27OV_zscore_6M"
150,532,3,BAA_10Y_Spread_quintile,"BAA_10Y_Spread_Q5, BAA_10Y_Spread_extreme_high, BAA_10Y_Spread_quintile"
593,413,3,GS1_accel_3M,"GS1_accel_3M, TB3MS_accel_3M, TB6MS_accel_3M"
595,440,3,TB3MS_chg_6M,"GS1_chg_6M, TB3MS_chg_6M, TB6MS_chg_6M"
596,439,3,TB3MS_accel_6M,"GS1_accel_6M, TB3MS_accel_6M, TB6MS_accel_6M"
598,408,3,TB3MS_chg_12M,"GS1_chg_12M, TB3MS_chg_12M, TB6MS_chg_12M"
599,407,3,TB3MS_accel_12M,"GS1_accel_12M, TB3MS_accel_12M, TB6MS_accel_12M"
362,189,3,DMANEMP_accel_12M,"DMANEMP_accel_12M, MANEMP_accel_12M, USGOOD_accel_12M"
361,188,3,DMANEMP_chg_12M,"DMANEMP_chg_12M, MANEMP_chg_12M, USGOOD_chg_12M"
577,653,3,S&P div yield_accel_12M,"S&P 500_accel_12M, S&P PE ratio_accel_12M, S&P div yield_accel_12M"
576,654,3,S&P div yield_chg_12M,"S&P 500_chg_12M, S&P PE ratio_chg_12M, S&P div yield_chg_12M"
2,148,3,CMRMTSPLx_zscore_12M,"CMRMTSPLx, CMRMTSPLx_zscore_12M, CMRMTSPLx_zscore_6M"
574,657,3,S&P PE ratio_zscore_3M,"S&P 500_zscore_3M, S&P PE ratio_zscore_3M, S&P div yield_zscore_3M"
166,514,3,UMCSENTx_quintile,"UMCSENTx_Q1, UMCSENTx_extreme_low, UMCSENTx_quintile"
691,618,3,DNDGRG3M086SBEA_chg_12M,"CUSR0000SA0L2_chg_12M, CUSR0000SAC_chg_12M, DNDGRG3M086SBEA_chg_12M"
161,512,3,UNRATE_quintile,"UNRATE_Q1, UNRATE_extreme_low, UNRATE_quintile"
692,617,3,DNDGRG3M086SBEA_accel_12M,"CUSR0000SA0L2_accel_12M, CUSR0000SAC_accel_12M, DNDGRG3M086SBEA_accel_12M"
155,533,3,AAA_10Y_Spread_quintile,"AAA_10Y_Spread_Q5, AAA_10Y_Spread_extreme_high, AAA_10Y_Spread_quintile"
592,414,3,GS1_chg_3M,"GS1_chg_3M, TB3MS_chg_3M, TB6MS_chg_3M"
66,698,3,EXSZUSx_zscore_12M,"EXSZUSx, EXSZUSx_zscore_12M, EXSZUSx_zscore_6M"
627,379,3,T1YFFM_accel_12M,"T1YFFM_accel_12M, TB3SMFFM_accel_12M, TB6SMFFM_accel_12M"
626,378,3,T1YFFM_chg_12M,"T1YFFM_chg_12M, TB3SMFFM_chg_12M, TB6SMFFM_chg_12M"
15,30,3,CE16OV_zscore_12M,"CE16OV, CE16OV_zscore_12M, CE16OV_zscore_6M"
92,648,3,UMCSENTx,"UMCSENTx, UMCSENTx_zscore_12M, UMCSENTx_zscore_6M"
298,45,3,HWI_zscore_12M,"HWI_zscore_12M, HWI_zscore_3M, HWI_zscore_6M"
69,676,3,EXCAUSx_zscore_12M,"EXCAUSx, EXCAUSx_zscore_12M, EXCAUSx_zscore_6M"
39,590,3,ACOGNO_zscore_12M,"ACOGNO, ACOGNO_zscore_12M, ACOGNO_zscore_6M"
68,693,3,EXUSUKx_zscore_12M,"EXUSUKx, EXUSUKx_zscore_12M, EXUSUKx_zscore_6M"
44,146,3,ISRATIOx_zscore_12M,"ISRATIOx, ISRATIOx_zscore_12M, ISRATIOx_zscore_6M"
624,374,3,T1YFFM_accel_6M,"T1YFFM_accel_6M, TB3SMFFM_accel_6M, TB6SMFFM_accel_6M"
67,688,3,EXJPUSx_zscore_12M,"EXJPUSx, EXJPUSx_zscore_12M, EXJPUSx_zscore_6M"
50,550,3,NONBORRES_zscore_12M,"NONBORRES, NONBORRES_zscore_12M, NONBORRES_zscore_6M"
65,697,3,TWEXAFEGSMTHx_zscore_12M,"TWEXAFEGSMTHx, TWEXAFEGSMTHx_zscore_12M, TWEXAFEGSMTHx_zscore_6M"
17,18,3,UEMPMEAN_zscore_12M,"UEMPMEAN, UEMPMEAN_zscore_12M, UEMPMEAN_zscore_6M"
315,59,3,UNRATE_zscore_12M,"UNRATE_zscore_12M, UNRATE_zscore_3M, UNRATE_zscore_6M"
62,522,3,TB6SMFFM,"TB3SMFFM, TB6SMFFM, TED_Spread_Proxy"
58,417,3,TB3MS,"GS1, TB3MS, TB6MS"
264,179,3,IPFINAL_accel_12M,"IPCONGD_accel_12M, IPFINAL_accel_12M, IPFPNSS_accel_12M"
20,9,3,UEMP15OV_zscore_12M,"UEMP15OV, UEMP15OV_zscore_12M, UEMP15OV_zscore_6M"
497,341,3,PERMITW_zscore_12M,"PERMITW_chg_3M, PERMITW_zscore_12M, PERMITW_zscore_6M"
107,353,3,Real_Fed_Funds_chg_12M,"Real_1Y_Yield_chg_12M, Real_3M_Rate_chg_12M, Real_Fed_Funds_chg_12M"
25,483,3,DMANEMP,"DMANEMP, MANEMP, USGOOD"
105,355,3,Real_Fed_Funds_chg_3M,"Real_1Y_Yield_chg_3M, Real_3M_Rate_chg_3M, Real_Fed_Funds_chg_3M"
106,351,3,Real_Fed_Funds_chg_6M,"Real_1Y_Yield_chg_6M, Real_3M_Rate_chg_6M, Real_Fed_Funds_chg_6M"
261,213,3,IPCONGD_chg_6M,"IPCONGD_chg_6M, IPFINAL_chg_6M, IPFPNSS_chg_6M"
262,212,3,IPCONGD_accel_6M,"IPCONGD_accel_6M, IPFINAL_accel_6M, IPFPNSS_accel_6M"
263,180,3,IPCONGD_chg_12M,"IPCONGD_chg_12M, IPFINAL_chg_12M, IPFPNSS_chg_12M"
260,238,3,IPFINAL_zscore_3M,"IPCONGD_zscore_3M, IPFINAL_zscore_3M, IPFPNSS_zscore_3M"
23,162,3,CLAIMSx_zscore_12M,"CLAIMSx, CLAIMSx_zscore_12M, CLAIMSx_zscore_6M"
622,359,3,T1YFFM_accel_3M,"T1YFFM_accel_3M, TB3SMFFM_accel_3M, TB6SMFFM_accel_3M"
303,46,3,HWIURATIO_zscore_12M,"HWIURATIO_zscore_12M, HWIURATIO_zscore_3M, HWIURATIO_zscore_6M"
302,41,2,HWIURATIO_accel_3M,"HWIURATIO_accel_3M, HWIURATIO_chg_3M"
314,55,2,UNRATE_accel_3M,"UNRATE_accel_3M, UNRATE_chg_3M"
313,25,2,CE16OV_accel_12M,"CE16OV_accel_12M, CE16OV_chg_12M"
299,39,2,HWI_accel_6M,"HWI_accel_6M, HWI_chg_6M"
603,428,2,GS10_zscore_3M,"GS10_zscore_3M, GS5_zscore_3M"
619,368,2,COMPAPFFx_zscore_12M,"COMPAPFFx_zscore_12M, COMPAPFFx_zscore_6M"
312,24,2,CE16OV_accel_6M,"CE16OV_accel_6M, CE16OV_chg_6M"
597,419,2,TB3MS_zscore_12M,"TB3MS_zscore_12M, TB3MS_zscore_6M"
304,40,2,HWIURATIO_accel_6M,"HWIURATIO_accel_6M, HWIURATIO_chg_6M"
310,28,2,CE16OV_accel_3M,"CE16OV_accel_3M, CE16OV_chg_3M"
309,26,2,CLF16OV_accel_12M,"CLF16OV_accel_12M, CLF16OV_chg_12M"
360,248,2,USGOOD_zscore_12M,"USGOOD_zscore_12M, USGOOD_zscore_6M"
308,23,2,CLF16OV_accel_6M,"CLF16OV_accel_6M, CLF16OV_chg_6M"
319,16,2,UEMPMEAN_accel_3M,"UEMPMEAN_accel_3M, UEMPMEAN_chg_3M"
600,421,2,GS1_zscore_3M,"GS1_zscore_3M, TB6MS_zscore_3M"
368,83,2,CES1021000001_zscore_12M,"CES1021000001_zscore_12M, CES1021000001_zscore_6M"
307,27,2,CLF16OV_accel_3M,"CLF16OV_accel_3M, CLF16OV_chg_3M"
318,57,2,UNRATE_accel_12M,"UNRATE_accel_12M, UNRATE_chg_12M"
324,54,2,UEMPLT5_accel_3M,"UEMPLT5_accel_3M, UEMPLT5_chg_3M"
354,184,2,SRVPRD_accel_12M,"PAYEMS_accel_12M, SRVPRD_accel_12M"
376,258,2,USCONS_zscore_12M,"USCONS_zscore_12M, USCONS_zscore_6M"
325,51,2,UEMPLT5_accel_6M,"UEMPLT5_accel_6M, UEMPLT5_chg_6M"
326,56,2,UEMPLT5_accel_12M,"UEMPLT5_accel_12M, UEMPLT5_chg_12M"
295,737,2,IPFUELS_accel_6M,"IPFUELS_accel_6M, IPFUELS_chg_6M"
327,34,2,UEMP5TO14_accel_3M,"UEMP5TO14_accel_3M, UEMP5TO14_chg_3M"
328,32,2,UEMP5TO14_accel_6M,"UEMP5TO14_accel_6M, UEMP5TO14_chg_6M"
329,33,2,UEMP5TO14_accel_12M,"UEMP5TO14_accel_12M, UEMP5TO14_chg_12M"
330,2,2,UEMP15OV_accel_3M,"UEMP15OV_accel_3M, UEMP15OV_chg_3M"
611,401,2,AAA_chg_12M,"AAA_chg_12M, BAA_chg_12M"
332,6,2,UEMP15OV_accel_6M,"UEMP15OV_accel_6M, UEMP15OV_chg_6M"
333,4,2,UEMP15OV_accel_12M,"UEMP15OV_accel_12M, UEMP15OV_chg_12M"
334,1,2,UEMP15T26_accel_3M,"UEMP15T26_accel_3M, UEMP15T26_chg_3M"
323,17,2,UEMPMEAN_accel_12M,"UEMPMEAN_accel_12M, UEMPMEAN_chg_12M"
336,5,2,UEMP15T26_accel_6M,"UEMP15T26_accel_6M, UEMP15T26_chg_6M"
337,3,2,UEMP15T26_accel_12M,"UEMP15T26_accel_12M, UEMP15T26_chg_12M"
353,183,2,SRVPRD_chg_12M,"PAYEMS_chg_12M, SRVPRD_chg_12M"
338,15,2,UEMP27OV_accel_3M,"UEMP27OV_accel_3M, UEMP27OV_chg_3M"
609,435,2,AAA_accel_6M,"AAA_accel_6M, BAA_accel_6M"
608,436,2,AAA_chg_6M,"AAA_chg_6M, BAA_chg_6M"
342,20,2,UEMP27OV_accel_12M,"UEMP27OV_accel_12M, UEMP27OV_chg_12M"
343,161,2,CLAIMSx_accel_3M,"CLAIMSx_accel_3M, CLAIMSx_chg_3M"
345,159,2,CLAIMSx_accel_6M,"CLAIMSx_accel_6M, CLAIMSx_chg_6M"
346,160,2,CLAIMSx_accel_12M,"CLAIMSx_accel_12M, CLAIMSx_chg_12M"
347,270,2,SRVPRD_chg_3M,"PAYEMS_chg_3M, SRVPRD_chg_3M"
348,269,2,SRVPRD_accel_3M,"PAYEMS_accel_3M, SRVPRD_accel_3M"
296,739,2,IPFUELS_accel_12M,"IPFUELS_accel_12M, IPFUELS_chg_12M"
350,194,2,SRVPRD_chg_6M,"PAYEMS_chg_6M, SRVPRD_chg_6M"
351,195,2,SRVPRD_accel_6M,"PAYEMS_accel_6M, SRVPRD_accel_6M"
612,402,2,AAA_accel_12M,"AAA_accel_12M, BAA_accel_12M"
297,42,2,HWI_accel_3M,"HWI_accel_3M, HWI_chg_3M"
430,165,2,AWHMAN_accel_12M,"AWHMAN_accel_12M, CES0600000007_accel_12M"
589,415,2,CP3Mx_zscore_12M,"CP3Mx_zscore_12M, CP3Mx_zscore_6M"
462,337,2,HOUSTS_zscore_12M,"HOUSTS_zscore_12M, HOUSTS_zscore_6M"
474,345,2,PERMITS_chg_6M,"PERMITS_chg_6M, PERMIT_chg_6M"
539,595,2,M2REAL_accel_3M,"M2REAL_accel_3M, M2REAL_chg_3M"
471,344,2,PERMITS_chg_3M,"PERMITS_chg_3M, PERMIT_chg_3M"
541,592,2,M2REAL_accel_6M,"M2REAL_accel_6M, M2REAL_chg_6M"
469,317,2,HOUSTW_chg_12M,"HOUSTW_chg_12M, PERMITW_chg_12M"
468,326,2,HOUSTW_zscore_12M,"HOUSTW_zscore_12M, HOUSTW_zscore_6M"
542,596,2,M2REAL_zscore_12M,"M2REAL_zscore_12M, M2REAL_zscore_6M"
545,546,2,BOGMBASE_accel_3M,"BOGMBASE_accel_3M, BOGMBASE_chg_3M"
546,548,2,BOGMBASE_accel_6M,"BOGMBASE_accel_6M, BOGMBASE_chg_6M"
547,541,2,TOTRESNS_chg_12M,"BOGMBASE_chg_12M, TOTRESNS_chg_12M"
476,347,2,PERMIT_zscore_12M,"PERMIT_zscore_12M, PERMIT_zscore_6M"
549,547,2,TOTRESNS_accel_3M,"TOTRESNS_accel_3M, TOTRESNS_chg_3M"
550,549,2,TOTRESNS_accel_6M,"TOTRESNS_accel_6M, TOTRESNS_chg_6M"
456,312,2,HOUSTMW_zscore_12M,"HOUSTMW_zscore_12M, HOUSTMW_zscore_6M"
552,545,2,NONBORRES_accel_3M,"NONBORRES_accel_3M, NONBORRES_chg_3M"
554,544,2,NONBORRES_accel_6M,"NONBORRES_accel_6M, NONBORRES_chg_6M"
452,311,2,HOUSTMW_accel_3M,"HOUSTMW_accel_3M, HOUSTMW_chg_3M"
449,296,2,HOUSTNE_zscore_12M,"HOUSTNE_zscore_12M, HOUSTNE_zscore_6M"
557,718,2,BUSLOANS_accel_3M,"BUSLOANS_accel_3M, BUSLOANS_chg_3M"
558,717,2,BUSLOANS_accel_6M,"BUSLOANS_accel_6M, BUSLOANS_chg_6M"
475,299,2,PERMITS_accel_6M,"PERMITS_accel_6M, PERMIT_accel_6M"
477,319,2,PERMITS_accel_12M,"PERMITS_accel_12M, PERMIT_accel_12M"
